,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group
317,11317,да,8.0,21500,"Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1
318,11318,да,4.0,25500,В лесу недалеко от города звери нападают на людей. Нужно убить их.,в лес недалеко от город зверь нападать на человек . нужный убить они .,0
319,11319,да,4.0,22000,Недалеко от города встречаются звери. Нужно убить их.,недалеко от город встречаться зверь . нужный убить они .,0
320,11320,да,6.0,29000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
321,11321,да,1.0,28000,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
322,11322,да,10.0,8000,Недалеко от города у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1
323,11323,да,3.0,19000,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
324,11324,да,1.0,23500,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
325,11325,да,3.0,26500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
326,11326,да,1.0,5000,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый .,1
327,11327,да,1.0,14500,"По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
328,11328,да,2.0,22000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
329,11329,да,1.0,22500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1
330,11330,да,1.0,26000,По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
331,11331,да,2.0,6500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
332,11332,да,7.0,11500,В городе у меня был украден рюкзак. Нужно найти его как можно скорее.,в город у я быть украсть рюкзак . нужный найти он как можно скорый .,1
333,11333,да,8.0,17500,По дороге из деревни звери нападают на людей. Нужно убить их.,по дорога из деревня зверь нападать на человек . нужный убить они .,0
334,11334,да,7.0,14000,"Недалеко от города были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","недалеко от город быть заметить разбойник . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3
335,11335,да,9.0,14000,"В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня быть заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
336,11336,да,2.0,29000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2
337,11337,да,1.0,8000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
338,11338,да,9.0,17000,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
339,11339,да,8.0,10000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
340,11340,да,9.0,25000,В городе у меня пропала драгоценность. Нужно найти её как можно скорее.,в город у я пропасть драгоценность . нужный найти она как можно скорый .,1
341,11341,да,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
342,11342,да,6.0,7500,По дороге из деревни звери нападают на людей. Нужно убить их.,по дорога из деревня зверь нападать на человек . нужный убить они .,0
343,11343,да,8.0,26000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
344,11344,да,5.0,26500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1
345,11345,да,2.0,9500,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
346,11346,да,3.0,27000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
347,11347,да,5.0,28000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
348,11348,да,6.0,27000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
349,11349,да,5.0,29500,В лесу около деревни видели монстров. Нужно уничтожить их.,в лес около деревня видеть монстр . нужный уничтожить они .,0
350,11350,да,3.0,16000,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,в лес по дорога от пещера заметить монстр . нужный победить они .,0
351,11351,да,1.0,13500,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера зверь нападать на человек . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
352,11352,да,8.0,5000,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
353,11353,да,6.0,21500,Недалеко от города заметили разбойников. Нужно прогнать их.,недалеко от город заметить разбойник . нужный прогнать они .,0
354,11354,да,6.0,28500,В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее.,в город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
355,11355,да,8.0,17000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
356,11356,да,9.0,9000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
357,11357,да,9.0,5500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
358,11358,да,4.0,8500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
359,11359,да,7.0,16000,"Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1
360,11360,да,2.0,28000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
361,11361,да,1.0,17500,В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1
362,11362,да,1.0,22500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
363,11363,да,3.0,16500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
364,11364,да,8.0,25000,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера зверь нападать на человек . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3
365,11365,да,8.0,9500,"В лесу по дороге от пещеры заметили зверей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера заметить зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3
366,11366,да,9.0,13000,В лесу недалеко от города видели монстров. Нужно уничтожить их.,в лес недалеко от город видеть монстр . нужный уничтожить они .,0
367,11367,да,3.0,7000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
368,11368,да,10.0,25500,"Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
369,11369,да,5.0,5500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
370,11370,да,6.0,5000,Недалеко от города у меня потерялся рюкзак. Нужно найти его как можно скорее.,недалеко от город у я потеряться рюкзак . нужный найти он как можно скорый .,1
371,11371,да,5.0,10000,"В лесу около деревни заметили зверей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес около деревня заметить зверь . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
372,11372,да,9.0,27500,В лесу недалеко от города заметили монстров. Нужно уничтожить их.,в лес недалеко от город заметить монстр . нужный уничтожить они .,0
373,11373,да,7.0,18500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
374,11374,да,4.0,12500,"В лесу недалеко от города заметили монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.","в лес недалеко от город заметить монстр . нужный победить они . быть осторожный , так как монстр мочь быть опасный .",3
375,11375,да,8.0,8500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
376,11376,да,3.0,12500,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2
377,11377,да,9.0,27500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
378,11378,да,3.0,8500,Недалеко от города разбойники нападают на людей. Нужно прогнать их.,недалеко от город разбойник нападать на человек . нужный прогнать они .,0
379,11379,да,9.0,26000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
380,11380,да,10.0,8500,По дороге из деревни у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,по дорога из деревня у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1
381,11381,нет,,7000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
382,11382,да,4.0,21500,В лесу около деревни встречаются звери. Нужно убить их.,в лес около деревня встречаться зверь . нужный убить они .,0
383,11383,да,2.0,6500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
384,11384,да,1.0,13000,"Недалеко от города у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
385,11385,да,4.0,28000,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
386,11386,да,2.0,29500,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,в город у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
387,11387,нет,,6500,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
388,11388,да,6.0,13500,В лесу около деревни встречаются звери. Нужно прогнать их.,в лес около деревня встречаться зверь . нужный прогнать они .,0
389,11389,да,8.0,15000,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
390,11390,да,2.0,22500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
391,11391,да,8.0,27500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
392,11392,да,5.0,11000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
393,11393,да,3.0,12000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
394,11394,да,6.0,16500,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
395,11395,да,2.0,24500,В лесу недалеко от города были замечены разбойники. Нужно проучить их.,в лес недалеко от город быть заметить разбойник . нужный проучить они .,0
396,11396,нет,,23000,В лесу недалеко от города заметили зверей. Нужно убить их.,в лес недалеко от город заметить зверь . нужный убить они .,0
397,11397,да,7.0,15000,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2
398,11398,да,10.0,12000,"В лесу между городом и деревней заметили разбойников. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
399,11399,да,5.0,6000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
400,11400,да,4.0,5000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
401,11401,да,8.0,17000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
402,11402,нет,,12000,По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный вернуть она как можно скорый .,1
403,11403,да,9.0,18500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
404,11404,да,3.0,29500,В лесу по дороге от пещеры монстры нападают на людей. Нужно победить их.,в лес по дорога от пещера монстр нападать на человек . нужный победить они .,0
405,11405,да,2.0,17000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
406,11406,да,3.0,21500,Недалеко от города заметили зверей. Нужно убить их.,недалеко от город заметить зверь . нужный убить они .,0
407,11407,да,7.0,19000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,в город у я пропасть рюкзак . нужный найти он как можно скорый .,1
408,11408,да,5.0,28000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
409,11409,да,7.0,16000,В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их.,в лес по дорога от пещера зверь нападать на человек . нужный прогнать они .,0
410,11410,да,9.0,27500,"В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я быть украсть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
411,11411,да,4.0,26000,"Недалеко от города у меня пропал рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я пропасть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1
412,11412,да,4.0,9500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
413,11413,да,1.0,7500,Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1
414,11414,да,4.0,9000,"Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1
415,11415,да,6.0,11000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый .,1
416,11416,да,7.0,19000,В лесу около деревни заметили зверей. Нужно прогнать их.,в лес около деревня заметить зверь . нужный прогнать они .,0
417,11417,нет,,20500,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,недалеко от город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
418,11418,да,6.0,25000,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0
419,11419,да,9.0,22000,В лесу недалеко от города видели монстров. Нужно уничтожить их.,в лес недалеко от город видеть монстр . нужный уничтожить они .,0
420,11420,да,5.0,7000,В лесу между городом и деревней разбойники нападают на людей. Нужно проучить их.,в лес между город и деревня разбойник нападать на человек . нужный проучить они .,0
421,11421,да,10.0,19500,В деревне у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1
422,11422,да,8.0,27500,Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее.,недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый .,1
423,11423,да,2.0,28000,По дороге из деревни у меня был украден рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1
424,11424,да,5.0,9500,В лесу около деревни монстры нападают на людей. Нужно уничтожить их.,в лес около деревня монстр нападать на человек . нужный уничтожить они .,0
425,11425,да,1.0,7500,По дороге из деревни были замечены разбойники. Нужно убить их.,по дорога из деревня быть заметить разбойник . нужный убить они .,0
426,11426,да,4.0,7500,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
427,11427,да,10.0,5000,В лесу между городом и деревней разбойники нападают на людей. Нужно прогнать их.,в лес между город и деревня разбойник нападать на человек . нужный прогнать они .,0
428,11428,нет,,12500,В лесу около деревни звери нападают на людей. Нужно прогнать их.,в лес около деревня зверь нападать на человек . нужный прогнать они .,0
429,11429,да,1.0,29500,"В городе у меня была украдена сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
430,11430,да,9.0,25000,"В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я потеряться сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
431,11431,да,9.0,14000,"В лесу около деревни видели монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня видеть монстр . нужный победить они . быть осторожный , так как монстр мочь быть опасный .",3
432,11432,да,9.0,25500,"По дороге из деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня быть заметить разбойник . нужный проучить они . быть осторожный , так как разбойник мочь быть опасный .",3
433,11433,да,8.0,9500,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
434,11434,да,8.0,23000,"В городе у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
435,11435,да,7.0,5500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый .,1
436,11436,да,7.0,28000,"В лесу недалеко от города заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город заметить монстр . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
437,11437,да,8.0,21000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
438,11438,нет,,11000,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
439,11439,да,9.0,18000,По дороге из деревни у меня была украдена сумка с документами. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть сумка с документ . нужный найти она как можно скорый .,1
440,11440,да,5.0,28500,Недалеко от города заметили разбойников. Нужно проучить их.,недалеко от город заметить разбойник . нужный проучить они .,0
441,11441,да,10.0,7000,В лесу недалеко от города видели монстров. Нужно победить их.,в лес недалеко от город видеть монстр . нужный победить они .,0
442,11442,да,3.0,28000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
443,11443,да,5.0,16500,По дороге из деревни заметили зверей. Нужно прогнать их.,по дорога из деревня заметить зверь . нужный прогнать они .,0
444,11444,да,10.0,16500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
445,11445,да,7.0,28500,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
446,11446,да,2.0,12500,По дороге из деревни монстры похитили путников. Нужно спасти их.,по дорога из деревня монстр похитить путник . нужный спасти они .,2
447,11447,да,1.0,5000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2
448,11448,да,3.0,18000,"В лесу недалеко от города монстры нападают на людей. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес недалеко от город монстр нападать на человек . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
449,11449,да,9.0,22000,В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в город у я потеряться сумка с документ . нужный найти она как можно скорый .,1
450,11450,да,9.0,21500,В деревне у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1
451,11451,да,8.0,8000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
452,11452,да,3.0,9000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
453,11453,да,7.0,27000,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
454,11454,да,6.0,5500,"По дороге из деревни у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
455,11455,да,2.0,14500,В деревне у меня был украден рюкзак. Нужно найти его как можно скорее.,в деревня у я быть украсть рюкзак . нужный найти он как можно скорый .,1
456,11456,да,7.0,10000,В городе у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в город у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
457,11457,да,3.0,12500,"В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я потеряться рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1
458,11458,да,2.0,28500,"В лесу между городом и деревней заметили разбойников. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","в лес между город и деревня заметить разбойник . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3
459,11459,да,5.0,6500,В лесу недалеко от города заметили разбойников. Нужно убить их.,в лес недалеко от город заметить разбойник . нужный убить они .,0
460,11460,да,3.0,27000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
461,11461,да,2.0,28000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,в город у я пропасть рюкзак . нужный найти он как можно скорый .,1
462,11462,нет,,19500,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
463,11463,да,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
464,11464,да,4.0,6000,"В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я потеряться сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
465,11465,да,10.0,28000,Недалеко от города разбойники нападают на людей. Нужно убить их.,недалеко от город разбойник нападать на человек . нужный убить они .,0
466,11466,да,10.0,25500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0
467,11467,да,7.0,18500,"В лесу около деревни монстры нападают на людей. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес около деревня монстр нападать на человек . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
468,11468,да,5.0,7500,По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1
469,11469,да,5.0,13500,"По дороге из деревни монстры нападают на людей. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","по дорога из деревня монстр нападать на человек . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
470,11470,да,1.0,13000,По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1
471,11471,да,2.0,18000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
472,11472,да,10.0,9000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2
473,11473,да,2.0,13500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
