,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
253,11253,да,1.0,9000,"Недалеко от города заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","недалеко от город заметить зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3,Юлия,3,5,4
254,11254,да,9.0,24500,Недалеко от города звери нападают на людей. Нужно прогнать их.,недалеко от город зверь нападать на человек . нужный прогнать они .,0,Пастушок,3,4,4
255,11255,да,7.0,9500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Бендер,4,4,3
256,11256,да,10.0,21500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бенедикт,4,2,4
257,11257,да,1.0,25500,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,в лес по дорога от пещера заметить монстр . нужный победить они .,0,Альфред,4,4,4
258,11258,да,9.0,18500,В лесу между городом и деревней заметили разбойников. Нужно убить их.,в лес между город и деревня заметить разбойник . нужный убить они .,0,Юлия,3,3,4
259,11259,да,2.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Синеглазый,4,5,5
260,11260,да,7.0,25500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Синеглазый,3,4,4
261,11261,да,7.0,17000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Бендер,4,4,4
262,11262,да,10.0,10000,Недалеко от города встречаются звери. Нужно убить их.,недалеко от город встречаться зверь . нужный убить они .,0,Агата,4,4,5
263,11263,да,1.0,5000,В лесу недалеко от города были замечены разбойники. Нужно убить их.,в лес недалеко от город быть заметить разбойник . нужный убить они .,0,Леопольд,4,5,4
264,11264,да,4.0,29500,"В лесу между городом и деревней заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","в лес между город и деревня заметить монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3,Леопольд,4,3,3
265,11265,да,1.0,11500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Альфред,4,3,3
266,11266,да,9.0,6500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Мартин,3,3,5
267,11267,да,1.0,25500,По дороге из деревни монстры нападают на людей. Нужно уничтожить их.,по дорога из деревня монстр нападать на человек . нужный уничтожить они .,0,Бенедикт,5,5,4
268,11268,да,6.0,6000,В лесу недалеко от города разбойники нападают на людей. Нужно проучить их.,в лес недалеко от город разбойник нападать на человек . нужный проучить они .,0,Пастушок,4,5,5
269,11269,да,5.0,6000,"В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я потеряться сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Глюкоза,4,5,4
270,11270,да,2.0,20000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Соня,4,4,4
271,11271,да,8.0,12500,Недалеко от города видели монстров. Нужно победить их.,недалеко от город видеть монстр . нужный победить они .,0,Фредерик,4,4,4
272,11272,да,7.0,5500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Синеглазый,3,3,4
273,11273,да,6.0,8000,По дороге из деревни у меня пропал рюкзак. Нужно найти его как можно скорее.,по дорога из деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1,Фредерик,3,5,4
274,11274,да,8.0,16000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Бенедикт,3,5,4
275,11275,да,7.0,22500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Бенедикт,4,5,4
276,11276,да,4.0,13500,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2,Бенедикт,4,5,4
277,11277,да,10.0,5500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Альфред,4,3,4
278,11278,да,4.0,29500,В деревне у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1,Мартин,2,4,4
279,11279,да,10.0,24500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Глюкоза,5,4,4
280,11280,да,1.0,24500,В лесу по дороге от пещеры монстры нападают на людей. Нужно уничтожить их.,в лес по дорога от пещера монстр нападать на человек . нужный уничтожить они .,0,Синеглазый,5,4,4
281,11281,да,6.0,25500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Соня,2,2,3
282,11282,да,2.0,10500,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1,Бендер,4,5,2
283,11283,да,5.0,6500,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Соня,3,4,4
284,11284,да,2.0,10500,"В деревне у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","в деревня у я быть украсть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Бендер,4,4,4
285,11285,нет,,5000,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1,Альфред,4,3,5
286,11286,да,8.0,26000,"В городе у меня пропала драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я пропасть драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Фредерик,4,4,4
287,11287,да,2.0,15000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Пастушок,3,3,5
288,11288,да,3.0,10000,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Глюкоза,5,4,4
289,11289,да,1.0,14000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Соня,5,4,3
290,11290,да,1.0,29000,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,в город у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Мартин,3,4,3
291,11291,да,3.0,15000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый .,1,Агата,4,4,4
292,11292,да,7.0,19000,В деревне у меня пропала драгоценность. Нужно вернуть её как можно скорее.,в деревня у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Леопольд,3,5,3
293,11293,да,5.0,15000,Недалеко от города звери нападают на людей. Нужно убить их.,недалеко от город зверь нападать на человек . нужный убить они .,0,Фредерик,4,3,3
294,11294,да,7.0,28500,"В лесу недалеко от города были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес недалеко от город быть заметить разбойник . нужный проучить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Юлия,4,4,2
295,11295,да,7.0,15500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Бендер,5,4,4
296,11296,да,4.0,20500,По дороге из деревни заметили разбойников. Нужно проучить их.,по дорога из деревня заметить разбойник . нужный проучить они .,0,Бендер,4,3,4
297,11297,да,6.0,14500,"В деревне у меня пропала сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я пропасть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Пастушок,4,4,4
298,11298,да,3.0,5500,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2,Бенедикт,4,4,5
299,11299,да,4.0,17000,Недалеко от города у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я потеряться рюкзак . нужный вернуть он как можно скорый .,1,Леопольд,4,3,3
300,11300,да,1.0,11000,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0,Глюкоза,4,4,4
301,11301,да,5.0,16000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Агата,5,4,4
302,11302,да,7.0,5000,В лесу между городом и деревней заметили разбойников. Нужно прогнать их.,в лес между город и деревня заметить разбойник . нужный прогнать они .,0,Агата,4,4,4
303,11303,да,5.0,9000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Глюкоза,3,4,2
304,11304,да,6.0,22000,В лесу между городом и деревней заметили разбойников. Нужно проучить их.,в лес между город и деревня заметить разбойник . нужный проучить они .,0,Бендер,5,4,5
305,11305,да,4.0,9500,По дороге из деревни разбойники нападают на людей. Нужно прогнать их.,по дорога из деревня разбойник нападать на человек . нужный прогнать они .,0,Агата,4,3,5
306,11306,нет,,17000,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Юлия,3,5,4
307,11307,да,8.0,10500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Глюкоза,4,4,5
308,11308,да,6.0,29500,В деревне у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в деревня у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Синеглазый,4,5,4
309,11309,да,5.0,26000,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1,Бендер,5,4,3
310,11310,нет,,5000,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Бенедикт,4,3,5
311,11311,нет,,19000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1,Агата,4,5,5
312,11312,да,8.0,8000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Альфред,4,4,3
313,11313,да,10.0,12000,"В лесу по дороге от пещеры заметили зверей. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера заметить зверь . нужный убить они . быть осторожный , так как зверь мочь быть опасный .",3,Мартин,4,4,5
314,11314,да,8.0,13000,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Глюкоза,2,4,3
315,11315,да,6.0,7500,В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее.,в деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1,Соня,5,4,3
316,11316,да,8.0,18500,"Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Соня,5,3,4
317,11317,да,8.0,21500,"Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Юлия,3,4,2
318,11318,да,4.0,25500,В лесу недалеко от города звери нападают на людей. Нужно убить их.,в лес недалеко от город зверь нападать на человек . нужный убить они .,0,Мартин,5,3,4
319,11319,да,4.0,22000,Недалеко от города встречаются звери. Нужно убить их.,недалеко от город встречаться зверь . нужный убить они .,0,Синеглазый,4,4,5
320,11320,да,6.0,29000,По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1,Бенедикт,4,3,4
321,11321,да,1.0,28000,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Бенедикт,3,4,4
322,11322,да,10.0,8000,Недалеко от города у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1,Бендер,5,4,5
323,11323,да,3.0,19000,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Агата,4,5,4
324,11324,да,1.0,23500,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Синеглазый,4,4,5
325,11325,да,3.0,26500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,по дорога из деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Агата,3,2,5
326,11326,да,1.0,5000,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я потеряться сумка с документ . нужный найти она как можно скорый .,1,Соня,5,5,2
327,11327,да,1.0,14500,"По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я потеряться драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Юлия,4,2,5
328,11328,да,2.0,22000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Синеглазый,3,4,3
329,11329,да,1.0,22500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Бенедикт,5,3,4
330,11330,да,1.0,26000,По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Пастушок,4,5,2
331,11331,да,2.0,6500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Глюкоза,4,4,5
332,11332,да,7.0,11500,В городе у меня был украден рюкзак. Нужно найти его как можно скорее.,в город у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Пастушок,4,5,4
333,11333,да,8.0,17500,По дороге из деревни звери нападают на людей. Нужно убить их.,по дорога из деревня зверь нападать на человек . нужный убить они .,0,Бенедикт,4,3,4
334,11334,да,7.0,14000,"Недалеко от города были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.","недалеко от город быть заметить разбойник . нужный убить они . быть осторожный , так как разбойник мочь быть опасный .",3,Юлия,4,3,5
335,11335,да,9.0,14000,"В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес между город и деревня быть заметить разбойник . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4,Юлия,4,5,4
336,11336,да,2.0,29000,В деревне монстры похитили путников. Нужно освободить их.,в деревня монстр похитить путник . нужный освободить они .,2,Юлия,3,2,3
337,11337,да,1.0,8000,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Юлия,4,4,4
338,11338,да,9.0,17000,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1,Юлия,3,3,5
339,11339,да,8.0,10000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Мартин,5,4,2
340,11340,да,9.0,25000,В городе у меня пропала драгоценность. Нужно найти её как можно скорее.,в город у я пропасть драгоценность . нужный найти она как можно скорый .,1,Фредерик,3,4,3
341,11341,да,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Леопольд,3,4,4
342,11342,да,6.0,7500,По дороге из деревни звери нападают на людей. Нужно убить их.,по дорога из деревня зверь нападать на человек . нужный убить они .,0,Пастушок,5,4,4
343,11343,да,8.0,26000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Фредерик,3,4,4
344,11344,да,5.0,26500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный найти он как можно скорый .,1,Мартин,5,5,4
345,11345,да,2.0,9500,"В пещере появвилось огромное каменное чудовище. Нужно убить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный убить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3,Пастушок,3,4,4
346,11346,да,3.0,27000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Агата,5,4,3
347,11347,да,5.0,28000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Леопольд,4,4,4
348,11348,да,6.0,27000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Пастушок,4,4,5
349,11349,да,5.0,29500,В лесу около деревни видели монстров. Нужно уничтожить их.,в лес около деревня видеть монстр . нужный уничтожить они .,0,Фредерик,4,5,3
350,11350,да,3.0,16000,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,в лес по дорога от пещера заметить монстр . нужный победить они .,0,Леопольд,3,4,4
351,11351,да,1.0,13500,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера зверь нападать на человек . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4,Соня,5,4,3
352,11352,да,8.0,5000,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в деревня у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1,Пастушок,5,4,4
353,11353,да,6.0,21500,Недалеко от города заметили разбойников. Нужно прогнать их.,недалеко от город заметить разбойник . нужный прогнать они .,0,Бендер,3,2,5
354,11354,да,6.0,28500,В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее.,в город у я пропасть драгоценность . нужный вернуть она как можно скорый .,1,Юлия,5,3,3
355,11355,да,8.0,17000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Бенедикт,3,5,5
356,11356,да,9.0,9000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2,Леопольд,5,4,4
357,11357,да,9.0,5500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Синеглазый,4,4,5
358,11358,да,4.0,8500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Бендер,4,4,5
359,11359,да,7.0,16000,"Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","недалеко от город у я пропасть рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1,Фредерик,4,4,3
360,11360,да,2.0,28000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Фредерик,3,3,5
361,11361,да,1.0,17500,В деревне у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1,Юлия,4,2,4
362,11362,да,1.0,22500,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2,Альфред,4,4,5
363,11363,да,3.0,16500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0,Синеглазый,3,4,3
364,11364,да,8.0,25000,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера зверь нападать на человек . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3,Глюкоза,5,5,4
365,11365,да,8.0,9500,"В лесу по дороге от пещеры заметили зверей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.","в лес по дорога от пещера заметить зверь . нужный прогнать они . быть осторожный , так как зверь мочь быть опасный .",3,Синеглазый,3,3,5
366,11366,да,9.0,13000,В лесу недалеко от города видели монстров. Нужно уничтожить их.,в лес недалеко от город видеть монстр . нужный уничтожить они .,0,Юлия,4,5,4
367,11367,да,3.0,7000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0,Леопольд,4,4,4
368,11368,да,10.0,25500,"Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1,Соня,4,5,4
369,11369,да,5.0,5500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0,Агата,4,4,4
370,11370,да,6.0,5000,Недалеко от города у меня потерялся рюкзак. Нужно найти его как можно скорее.,недалеко от город у я потеряться рюкзак . нужный найти он как можно скорый .,1,Альфред,4,4,3
371,11371,да,5.0,10000,"В лесу около деревни заметили зверей. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес около деревня заметить зверь . нужный прогнать они . осмотрите весь возможный укрытие , чтобы найти зверь .",4,Альфред,2,4,5
372,11372,да,9.0,27500,В лесу недалеко от города заметили монстров. Нужно уничтожить их.,в лес недалеко от город заметить монстр . нужный уничтожить они .,0,Бенедикт,4,4,5
373,11373,да,7.0,18500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3,Альфред,5,4,2
374,11374,да,4.0,12500,"В лесу недалеко от города заметили монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.","в лес недалеко от город заметить монстр . нужный победить они . быть осторожный , так как монстр мочь быть опасный .",3,Леопольд,4,5,5
375,11375,да,8.0,8500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0,Пастушок,4,4,3
